region,country,language,language_code,population
Australia & Melanesia,Australia,Gurindji Kriol,gjr,"1,000"
Australia & Melanesia,New Caledonia,Yuanga,nua,"2,400"
Australia & Melanesia,New Caledonia,Numèè,kdk,"2,180"
Australia & Melanesia,New Caledonia,Nyelâyu,yly,"1,960"
Australia & Melanesia,New Caledonia,Fwâi,fwa,"1,860"
Australia & Melanesia,New Caledonia,Drubea,duf,"1,210"
Australia & Melanesia,New Caledonia,Caac,msq,"1,170"
Australia & Melanesia,New Caledonia,Jawe,jaz,990
Australia & Melanesia,New Caledonia,Nemi,nem,910
Australia & Melanesia,Papua New Guinea,Hakö,hao,"12,000"
Australia & Melanesia,Papua New Guinea,Uneapa,bbn,"12,000"
Australia & Melanesia,Papua New Guinea,Angoram,aog,"8,220"
Australia & Melanesia,Papua New Guinea,Kove,kvc,"8,000"
Australia & Melanesia,Papua New Guinea,Mehek,nux,"6,300"
Australia & Melanesia,Papua New Guinea,Keoru-Ahia,xeu,"5,970"
Australia & Melanesia,Papua New Guinea,Askopan,eiv,"5,000"
Australia & Melanesia,Papua New Guinea,Bannoni,bcm,"4,500"
Australia & Melanesia,Papua New Guinea,Gavak,dmc,"3,820"
Australia & Melanesia,Papua New Guinea,Kap,ykm,"3,460"
Australia & Melanesia,Papua New Guinea,Kairiru,kxa,"3,200"
Australia & Melanesia,Papua New Guinea,Bebeli,bek,"3,130"
Australia & Melanesia,Papua New Guinea,Biwat,bwm,"3,040"
Australia & Melanesia,Papua New Guinea,Karawari,tzx,"3,000"
Australia & Melanesia,Papua New Guinea,Kou,snz,"3,000"
Australia & Melanesia,Papua New Guinea,Ontenu,ont,"3,000"
Australia & Melanesia,Papua New Guinea,Simeku,smz,"3,000"
Australia & Melanesia,Papua New Guinea,Ulau-Suain,svb,"2,800"
Australia & Melanesia,Papua New Guinea,Gorakor,goc,"2,740"
Australia & Melanesia,Papua New Guinea,Heyo,auk,"2,710"
Australia & Melanesia,Papua New Guinea,Vanimo,vam,"2,700"
Australia & Melanesia,Papua New Guinea,Garus,gyb,"2,650"
Australia & Melanesia,Papua New Guinea,Galeya,gar,"2,620"
Australia & Melanesia,Papua New Guinea,Kumalu,ksl,"2,580"
Australia & Melanesia,Papua New Guinea,Koromira,kqj,"2,500"
Australia & Melanesia,Papua New Guinea,Paluai,blq,"2,500"
Australia & Melanesia,Papua New Guinea,Yil,yll,"2,470"
Australia & Melanesia,Papua New Guinea,Maiwala,mum,"2,450"
Australia & Melanesia,Papua New Guinea,Solong,aaw,"2,200"
Australia & Melanesia,Papua New Guinea,Pagi,pgi,"2,140"
Australia & Melanesia,Papua New Guinea,Opao,opo,"2,070"
Australia & Melanesia,Papua New Guinea,Amio-Gelimi,let,"2,000"
Australia & Melanesia,Papua New Guinea,Lawunuia,tgi,"2,000"
Australia & Melanesia,Papua New Guinea,Lungalunga,vmg,"2,000"
Australia & Melanesia,Papua New Guinea,Tomoip,tqp,"2,000"
Australia & Melanesia,Papua New Guinea,Torau,ttu,"2,000"
Australia & Melanesia,Papua New Guinea,Tulil,tuh,"2,000"
Australia & Melanesia,Papua New Guinea,Tulu-Bohuai,rak,"1,970"
Australia & Melanesia,Papua New Guinea,Anamgura,imi,"1,960"
Australia & Melanesia,Papua New Guinea,Dibiyaso,dby,"1,950"
Australia & Melanesia,Papua New Guinea,Gants,gao,"1,880"
Australia & Melanesia,Papua New Guinea,Dia,dia,"1,840"
Australia & Melanesia,Papua New Guinea,Zenag,zeg,"1,820"
Australia & Melanesia,Papua New Guinea,Amaimon,ali,"1,780"
Australia & Melanesia,Papua New Guinea,Lembena,leq,"1,760"
Australia & Melanesia,Papua New Guinea,Mubami,tsx,"1,730"
Australia & Melanesia,Papua New Guinea,Chambri,can,"1,700"
Australia & Melanesia,Papua New Guinea,"Koiari, Grass",kbk,"1,700"
Australia & Melanesia,Papua New Guinea,Nimi,nis,"1,700"
Australia & Melanesia,Papua New Guinea,Waube,kop,"1,650"
Australia & Melanesia,Papua New Guinea,Elkei,elk,"1,640"
Australia & Melanesia,Papua New Guinea,Kapriman,dju,"1,640"
Australia & Melanesia,Papua New Guinea,Nakame,nib,"1,640"
Australia & Melanesia,Papua New Guinea,Khehek,tlx,"1,620"
Australia & Melanesia,Papua New Guinea,Wogeo,woc,"1,620"
Australia & Melanesia,Papua New Guinea,Idi,idi,"1,610"
Australia & Melanesia,Papua New Guinea,Ma Manda,skc,"1,600"
Australia & Melanesia,Papua New Guinea,Rempi,rmp,"1,590"
Australia & Melanesia,Papua New Guinea,Sewa Bay,sew,"1,520"
Australia & Melanesia,Papua New Guinea,Andra-Hus,anx,"1,500"
Australia & Melanesia,Papua New Guinea,Kobuka,urg,"1,500"
Australia & Melanesia,Papua New Guinea,Musar,mmi,"1,500"
Australia & Melanesia,Papua New Guinea,Yabong,ybo,"1,500"
Australia & Melanesia,Papua New Guinea,Kele,sbc,"1,460"
Australia & Melanesia,Papua New Guinea,Ginuman,gnm,"1,440"
Australia & Melanesia,Papua New Guinea,Yahang,rhp,"1,430"
Australia & Melanesia,Papua New Guinea,Gaina,gcn,"1,410"
Australia & Melanesia,Papua New Guinea,Ere,twp,"1,400"
Australia & Melanesia,Papua New Guinea,Mekmek,mvk,"1,400"
Australia & Melanesia,Papua New Guinea,Bipi,biq,"1,380"
Australia & Melanesia,Papua New Guinea,Kalou,ywa,"1,370"
Australia & Melanesia,Papua New Guinea,Maria,mds,"1,350"
Australia & Melanesia,Papua New Guinea,Gnau,gnu,"1,330"
Australia & Melanesia,Papua New Guinea,Yaleba,ylb,"1,330"
Australia & Melanesia,Papua New Guinea,Hahon,hah,"1,300"
Australia & Melanesia,Papua New Guinea,Nanubae,afk,"1,270"
Australia & Melanesia,Papua New Guinea,Kumukio,kuo,"1,260"
Australia & Melanesia,Papua New Guinea,Bilbil,brz,"1,250"
Australia & Melanesia,Papua New Guinea,Ambul,apo,"1,200"
Australia & Melanesia,Papua New Guinea,Brem,buq,"1,190"
Australia & Melanesia,Papua New Guinea,Pano,mqz,"1,180"
Australia & Melanesia,Papua New Guinea,Sowanda,sow,"1,180"
Australia & Melanesia,Papua New Guinea,Utarmbung,omo,"1,170"
Australia & Melanesia,Papua New Guinea,Biage,bdf,"1,100"
Australia & Melanesia,Papua New Guinea,Morawa,mze,"1,100"
Australia & Melanesia,Papua New Guinea,Pak-Tong,pkg,"1,090"
Australia & Melanesia,Papua New Guinea,Kanggape,igm,"1,080"
Australia & Melanesia,Papua New Guinea,Anam,pda,"1,070"
Australia & Melanesia,Papua New Guinea,Wanap,wnp,"1,070"
